date,County,FIPS,Country/Region,Province/State,Lat,Long,confirmed,recovered,deaths,active
2020-04-22,Abbeville,45001,US,South Carolina,34.22333378,-82.46170658,22,0,0,22
2020-04-22,Acadia,22001,US,Louisiana,30.295064899999996,-92.41419698,117,0,7,110
2020-04-22,Accomack,51001,US,Virginia,37.76707161,-75.63234615,59,0,1,58
2020-04-22,Ada,16001,US,Idaho,43.4526575,-116.24155159999998,622,0,12,610
2020-04-22,Adair,19001,US,Iowa,41.33075609,-94.47105874,1,0,0,1
2020-04-22,Adair,21001,US,Kentucky,37.10459774,-85.28129668,60,0,4,56
2020-04-22,Adair,29001,US,Missouri,40.19058551,-92.60078167,12,0,0,12
2020-04-22,Adair,40001,US,Oklahoma,35.88494195,-94.65859267,49,0,3,46
2020-04-22,Adams,55001,US,Wisconsin,43.96974651,-89.76782777,4,0,1,3
2020-04-22,Adams,53001,US,Washington,46.98299757,-118.56017340000001,44,0,0,44
2020-04-22,Adams,42001,US,Pennsylvania,39.87140411,-77.21610347,92,0,2,90
2020-04-22,Adams,39001,US,Ohio,38.84541072,-83.4718964,4,0,0,4
2020-04-22,Adams,31001,US,Nebraska,40.52449420000001,-98.50117804,103,0,0,103
2020-04-22,Adams,17001,US,Illinois,39.98815591,-91.18786813,29,0,0,29
2020-04-22,Adams,18001,US,Indiana,40.7457653,-84.93671406,7,0,1,6
2020-04-22,Adams,16003,US,Idaho,44.89333571,-116.4545247,3,0,0,3
2020-04-22,Adams,8001,US,Colorado,39.87432092,-104.3362578,1033,0,46,987
2020-04-22,Adams,28001,US,Mississippi,31.47669768,-91.35326037,96,0,7,89
2020-04-22,Addison,50001,US,Vermont,44.03217337,-73.14130877,61,0,2,59
2020-04-22,Aiken,45003,US,South Carolina,33.54338026,-81.63645384,82,0,4,78
2020-04-22,Aitkin,27001,US,Minnesota,46.60962049,-93.41168259999999,1,0,0,1
2020-04-22,Alachua,12001,US,Florida,29.67866525,-82.35928158,227,0,1,226
2020-04-22,Alamance,37001,US,North Carolina,36.0434701,-79.39976137,60,0,0,60
2020-04-22,Alameda,6001,US,California,37.64629437,-121.8929271,1242,0,43,1199
2020-04-22,Alamosa,8003,US,Colorado,37.57250606,-105.7885451,9,0,2,7
2020-04-22,Albany,36001,US,New York,42.60060306,-73.97723916,737,0,23,714
2020-04-22,Albany,56001,US,Wyoming,41.65498705,-105.72354150000001,6,0,0,6
2020-04-22,Albemarle,51003,US,Virginia,38.02080697,-78.55481085,68,0,3,65
2020-04-22,Alcona,26001,US,Michigan,44.6846864,-83.59507875,4,0,0,4
2020-04-22,Alcorn,28003,US,Mississippi,34.88084463,-88.57996173,7,0,0,7
2020-04-22,Alexander,17003,US,Illinois,37.18049267,-89.32910838,2,0,0,2
2020-04-22,Alexander,37003,US,North Carolina,35.922379600000006,-81.17751948,4,0,0,4
2020-04-22,Alexandria,51510,US,Virginia,38.814003,-77.08183073,474,0,12,462
2020-04-22,Alfalfa,40003,US,Oklahoma,36.73090616,-98.32408495,1,0,0,1
2020-04-22,Allamakee,19005,US,Iowa,43.28383218,-91.37860922,45,0,3,42
2020-04-22,Allegan,26005,US,Michigan,42.59147037,-85.89102866,50,0,0,50
2020-04-22,Allegany,24001,US,Maryland,39.62357628,-78.69280486,58,0,3,55
2020-04-22,Allegany,36003,US,New York,42.25748406,-78.02750466,30,0,2,28
2020-04-22,Alleghany,37005,US,North Carolina,36.49360862,-81.12857041,2,0,0,2
2020-04-22,Alleghany,51005,US,Virginia,37.78636074,-80.00222498,5,0,0,5
2020-04-22,Allegheny,42003,US,Pennsylvania,40.46809875,-79.98167747,1088,0,74,1014
2020-04-22,Allen,39003,US,Ohio,40.77285242,-84.10802343,94,0,12,82
