"date","region","lat","long","confirmed","deaths","recovered","active","d_active"
"2020-03-20","Afghanistan","33","65","24","0","1","23","2"
"2020-03-20","Albania","41.15","20.17","70","2","0","68","6"
"2020-03-20","Algeria","28.03","1.66","90","11","32","47","1"
"2020-03-20","Andorra","42.51","1.52","75","0","1","74","22"
"2020-03-20","Angola","-11.2","17.87","1","0","0","1","1"
"2020-03-20","Antigua and Barbuda","17.06","-61.8","1","0","0","1","0"
"2020-03-20","Argentina","-38.42","-63.62","128","3","3","122","31"
"2020-03-20","Armenia","40.07","45.04","136","0","1","135","21"
"2020-03-20","Australia","-24.5","141.06","791","7","26","758","109"
"2020-03-20","Austria","47.52","14.55","2388","6","9","2373","375"
"2020-03-20","Azerbaijan","40.14","47.58","44","1","6","37","0"
"2020-03-20","Bahamas, The","25.03","-77.4","3","0","0","3","0"
"2020-03-20","Bahrain","26.03","50.55","285","1","100","184","7"
"2020-03-20","Bangladesh","23.68","90.36","20","1","3","16","3"
"2020-03-20","Barbados","13.19","-59.54","5","0","0","5","0"
"2020-03-20","Belarus","53.71","27.95","69","0","5","64","18"
"2020-03-20","Belgium","50.83","4","2257","37","1","2219","476"
"2020-03-20","Benin","9.31","2.32","2","0","0","2","0"
"2020-03-20","Bhutan","27.51","90.43","2","0","0","2","1"
"2020-03-20","Bolivia","-16.29","-63.59","15","0","0","15","3"
"2020-03-20","Bosnia and Herzegovina","43.92","17.68","89","0","2","87","26"
"2020-03-20","Brazil","-14.24","-51.93","793","11","2","780","167"
"2020-03-20","Brunei","4.54","114.73","78","0","1","77","2"
"2020-03-20","Bulgaria","42.73","25.49","127","3","0","124","33"
"2020-03-20","Burkina Faso","12.24","-1.56","40","1","0","39","7"
"2020-03-20","Cabo Verde","16.54","-23.04","1","0","0","1","1"
"2020-03-20","Cambodia","11.55","104.92","51","0","1","50","14"
"2020-03-20","Cameroon","3.85","11.5","20","0","0","20","7"
"2020-03-20","Canada","49.33","-88.89","943","12","9","922","140"
"2020-03-20","Central African Republic","6.61","20.94","3","0","0","3","2"
"2020-03-20","Chad","15.45","18.73","1","0","0","1","0"
"2020-03-20","Chile","-35.68","-71.54","434","0","6","428","190"
"2020-03-20","China","32.83","111.65","81250","3253","71266","6731","-641"
"2020-03-20","Colombia","4.57","-74.3","128","0","1","127","26"
"2020-03-20","Congo (Brazzaville)","-4.04","21.76","3","0","0","3","0"
"2020-03-20","Congo (Kinshasa)","-4.04","21.76","18","0","0","18","4"
"2020-03-20","Costa Rica","9.75","-83.75","89","1","0","88","20"
"2020-03-20","Cote d'Ivoire","7.54","-5.55","9","0","1","8","0"
"2020-03-20","Croatia","45.1","15.2","128","1","5","122","23"
"2020-03-20","Cruise Ship","35.44","139.64","712","7","325","380","0"
"2020-03-20","Cuba","22","-80","16","1","0","15","5"
"2020-03-20","Cyprus","35.13","33.43","67","0","0","67","0"
"2020-03-20","Czechia","49.82","15.47","833","0","4","829","138"
"2020-03-20","Denmark","63.29","-13.34","1337","9","1","1327","109"
"2020-03-20","Djibouti","11.83","42.59","1","0","0","1","0"
"2020-03-20","Dominican Republic","18.74","-70.16","72","2","0","70","38"
"2020-03-20","Ecuador","-1.83","-78.18","367","5","0","362","166"
"2020-03-20","Egypt","26","30","285","8","39","238","20"
"2020-03-20","El Salvador","13.79","-88.9","1","0","0","1","0"
"2020-03-20","Equatorial Guinea","1.5","10","6","0","0","6","0"
"2020-03-20","Estonia","58.6","25.01","283","0","1","282","16"
"2020-03-20","Eswatini","-26.52","31.47","1","0","0","1","0"
"2020-03-20","Ethiopia","9.14","40.49","9","0","0","9","3"
"2020-03-20","Fiji","-17.71","178.06","1","0","0","1","0"
"2020-03-20","Finland","64","26","450","0","10","440","50"
"2020-03-20","France","3.32","19.67","12726","450","12","12264","1572"
"2020-03-20","Gabon","-0.8","11.61","3","1","0","2","1"
"2020-03-20","Gambia, The","13.44","-15.31","1","0","0","1","0"
"2020-03-20","Georgia","42.32","43.36","43","0","1","42","3"
"2020-03-20","Germany","51","9","19848","67","180","19601","4438"
"2020-03-20","Ghana","7.95","-1.02","16","0","0","16","5"
"2020-03-20","Greece","39.07","21.82","495","6","19","470","66"
"2020-03-20","Guatemala","15.78","-90.23","12","1","0","11","3"
"2020-03-20","Guinea","9.95","-9.7","1","0","0","1","0"
"2020-03-20","Guyana","5","-58.75","7","1","0","6","0"
"2020-03-20","Haiti","18.97","-72.29","2","0","0","2","2"
"2020-03-20","Holy See","41.9","12.45","1","0","0","1","0"
"2020-03-20","Honduras","15.2","-86.24","24","0","0","24","12"
"2020-03-20","Hungary","47.16","19.5","85","3","2","80","10"
"2020-03-20","Iceland","64.96","-19.02","409","0","5","404","80"
"2020-03-20","India","21","78","244","5","20","219","44"
"2020-03-20","Indonesia","-0.79","113.92","369","32","15","322","47"
"2020-03-20","Iran","32","53","19644","1433","6745","11466","53"
"2020-03-20","Iraq","33","44","208","17","49","142","6"
"2020-03-20","Ireland","53.14","-7.69","683","3","5","675","126"
"2020-03-20","Israel","31","35","705","0","14","691","25"
"2020-03-20","Italy","43","12","47021","4032","4440","38549","5359"
"2020-03-20","Jamaica","18.11","-77.3","16","1","2","13","1"
"2020-03-20","Japan","36","138","963","33","191","739","-6"
"2020-03-20","Jordan","31.24","36.51","85","0","1","84","16"
"2020-03-20","Kazakhstan","48.02","66.92","49","3","0","46","2"
"2020-03-20","Kenya","-0.02","37.91","7","0","0","7","0"
"2020-03-20","Korea, South","36","128","8652","94","1540","7018","84"
"2020-03-20","Kosovo","42.6","20.9","2","0","0","2","0"
"2020-03-20","Kuwait","29.5","47.75","159","0","18","141","11"
"2020-03-20","Kyrgyzstan","41.2","74.77","6","0","0","6","3"
"2020-03-20","Latvia","56.88","24.6","111","0","1","110","25"
"2020-03-20","Lebanon","33.85","35.86","163","4","4","155","6"
"2020-03-20","Liberia","6.43","-9.43","2","0","0","2","0"
