"Date","Region","Lat","Long","Confirmed","Deaths","Recovered","Active","Change"
"2020-04-05","Afghanistan","33","65","349","7","15","327","45"
"2020-04-05","Albania","41.15","20.17","361","20","104","237","23"
"2020-04-05","Algeria","28.03","1.66","1320","152","90","1078","47"
"2020-04-05","Andorra","42.51","1.52","501","18","26","457","29"
"2020-04-05","Angola","-11.2","17.87","14","2","2","10","4"
"2020-04-05","Antigua and Barbuda","17.06","-61.8","15","0","0","15","0"
"2020-04-05","Argentina","-38.42","-63.62","1451","44","280","1127","-2"
"2020-04-05","Armenia","40.07","45.04","822","7","57","758","38"
"2020-04-05","Australia","-32","141.23","5687","35","757","4895","76"
"2020-04-05","Austria","47.52","14.55","12051","204","2998","8849","-239"
"2020-04-05","Azerbaijan","40.14","47.58","584","7","32","545","61"
"2020-04-05","Bahamas","25.03","-77.4","28","4","0","24","0"
"2020-04-05","Bahrain","26.03","50.55","700","4","431","265","4"
"2020-04-05","Bangladesh","23.68","90.36","88","9","33","46","14"
"2020-04-05","Barbados","13.19","-59.54","56","1","6","49","-3"
"2020-04-05","Belarus","53.71","27.95","562","8","52","502","120"
"2020-04-05","Belgium","50.83","4","19691","1447","3751","14493","592"
"2020-04-05","Belize","13.19","-59.54","5","0","0","5","1"
"2020-04-05","Benin","9.31","2.32","22","0","5","17","3"
"2020-04-05","Bhutan","27.51","90.43","5","0","2","3","0"
"2020-04-05","Bolivia","-16.29","-63.59","157","10","2","145","17"
"2020-04-05","Bosnia and Herzegovina","43.92","17.68","654","23","30","601","28"
"2020-04-05","Botswana","-22.33","24.68","6","1","0","5","2"
"2020-04-05","Brazil","-14.24","-51.92","11130","486","127","10517","729"
"2020-04-05","Brunei","4.54","114.73","135","1","73","61","-7"
"2020-04-05","Bulgaria","42.73","25.49","531","20","37","474","22"
"2020-04-05","Burkina Faso","12.24","-1.56","345","17","90","238","2"
"2020-04-05","Burma","21.92","95.96","21","1","0","20","0"
"2020-04-05","Burundi","-3.37","29.92","3","0","0","3","0"
"2020-04-05","Cabo Verde","16.54","-23.04","7","1","0","6","0"
"2020-04-05","Cambodia","11.55","104.92","114","0","50","64","0"
"2020-04-05","Cameroon","3.85","11.5","650","9","17","624","95"
"2020-04-05","Canada","44.78","-82.51","15756","259","0","15497","2737"
"2020-04-05","Central African Republic","6.61","20.94","8","0","0","8","0"
"2020-04-05","Chad","15.45","18.73","9","0","0","9","0"
"2020-04-05","Chile","-35.67","-71.54","4471","34","618","3819","213"
"2020-04-05","China","32.83","111.65","82602","3333","77207","2062","-205"
"2020-04-05","Colombia","4.57","-74.3","1485","35","88","1362","73"
"2020-04-05","Congo (Brazzaville)","-4.04","21.76","45","5","2","38","20"
"2020-04-05","Congo (Kinshasa)","-4.04","21.76","154","18","3","133","0"
"2020-04-05","Costa Rica","9.75","-83.75","454","2","16","436","16"
"2020-04-05","Cote d'Ivoire","7.54","-5.55","261","3","37","221","2"
"2020-04-05","Croatia","45.1","15.2","1182","15","125","1042","47"
"2020-04-05","Cuba","22","-80","320","8","15","297","30"
"2020-04-05","Cyprus","35.13","33.43","446","9","37","400","18"
"2020-04-05","Czechia","49.82","15.47","4587","67","96","4424","89"
"2020-04-05","Denmark","63.29","-13.34","4561","179","1429","2953","224"
"2020-04-05","Diamond Princess","0","0","712","11","619","82","0"
"2020-04-05","Djibouti","11.82","42.59","59","0","9","50","8"
"2020-04-05","Dominica","15.42","-61.37","14","0","0","14","0"
"2020-04-05","Dominican Republic","18.74","-70.16","1745","82","17","1646","242"
"2020-04-05","Ecuador","-1.83","-78.18","3646","180","100","3366","173"
"2020-04-05","Egypt","26","30","1173","78","247","848","90"
"2020-04-05","El Salvador","13.79","-88.9","62","3","2","57","6"
"2020-04-05","Equatorial Guinea","1.5","10","16","0","1","15","0"
"2020-04-05","Eritrea","15.18","39.78","29","0","0","29","0"
"2020-04-05","Estonia","58.6","25.01","1097","15","62","1020","53"
"2020-04-05","Eswatini","-26.52","31.47","9","0","0","9","0"
"2020-04-05","Ethiopia","9.14","40.49","43","2","4","37","3"
"2020-04-05","Fiji","-17.71","178.06","12","0","0","12","0"
"2020-04-05","Finland","64","26","1927","28","300","1599","42"
"2020-04-05","France","8.31","5.43","93773","8093","16349","69331","1629"
"2020-04-05","Gabon","-0.8","11.61","21","1","1","19","0"
"2020-04-05","Gambia","13.44","-15.31","4","1","2","1","0"
"2020-04-05","Georgia","42.32","43.36","174","2","36","136","11"
"2020-04-05","Germany","51","9","100123","1584","28700","69839","1591"
"2020-04-05","Ghana","7.95","-1.02","214","5","31","178","9"
"2020-04-05","Greece","39.07","21.82","1735","73","78","1584","57"
"2020-04-05","Grenada","12.12","-61.68","12","0","0","12","0"
"2020-04-05","Guatemala","15.78","-90.23","61","2","15","44","0"
"2020-04-05","Guinea","9.95","-9.7","121","0","5","116","10"
"2020-04-05","Guinea-Bissau","11.8","-15.18","18","0","0","18","0"
"2020-04-05","Guyana","5","-58.75","24","4","0","20","1"
"2020-04-05","Haiti","18.97","-72.28","21","1","1","19","0"
"2020-04-05","Holy See","41.9","12.45","7","0","0","7","0"
"2020-04-05","Honduras","15.2","-86.24","268","22","6","240","-6"
"2020-04-05","Hungary","47.16","19.5","733","34","66","633","45"
"2020-04-05","Iceland","64.96","-19.02","1486","4","428","1054","37"
"2020-04-05","India","21","78","3588","99","229","3260","493"
"2020-04-05","Indonesia","-0.79","113.92","2273","198","164","1911","160"
"2020-04-05","Iran","32","53","58226","3603","19736","34887","2332"
"2020-04-05","Iraq","33","44","961","61","279","621","58"
"2020-04-05","Ireland","53.14","-7.69","4994","158","25","4811","369"
"2020-04-05","Israel","31","35","8430","49","477","7904","524"
"2020-04-05","Italy","43","12","128948","15887","21815","91246","2972"
"2020-04-05","Jamaica","18.11","-77.3","58","3","8","47","4"
"2020-04-05","Japan","36","138","3139","77","514","2548","0"
"2020-04-05","Jordan","31.24","36.51","345","5","110","230","-14"
"2020-04-05","Kazakhstan","48.02","66.92","584","6","42","536","46"
"2020-04-05","Kenya","-0.02","37.91","142","4","4","134","16"
"2020-04-05","Korea, South","36","128","10237","183","6463","3591","-63"
"2020-04-05","Kosovo","42.6","20.9","145","1","23","121","3"
