"date","region/province","lat","long","confirmed","deaths","recovered","active"
"2020-02-16","Afghanistan","33","65","0","0","0","0"
"2020-02-17","Afghanistan","33","65","0","0","0","0"
"2020-02-18","Afghanistan","33","65","0","0","0","0"
"2020-02-19","Afghanistan","33","65","0","0","0","0"
"2020-02-20","Afghanistan","33","65","0","0","0","0"
"2020-02-21","Afghanistan","33","65","0","0","0","0"
"2020-02-22","Afghanistan","33","65","0","0","0","0"
"2020-02-23","Afghanistan","33","65","0","0","0","0"
"2020-02-24","Afghanistan","33","65","1","0","0","1"
"2020-02-25","Afghanistan","33","65","1","0","0","1"
"2020-02-26","Afghanistan","33","65","1","0","0","1"
"2020-02-27","Afghanistan","33","65","1","0","0","1"
"2020-02-28","Afghanistan","33","65","1","0","0","1"
"2020-02-29","Afghanistan","33","65","1","0","0","1"
"2020-03-01","Afghanistan","33","65","1","0","0","1"
"2020-03-02","Afghanistan","33","65","1","0","0","1"
"2020-03-03","Afghanistan","33","65","1","0","0","1"
"2020-03-04","Afghanistan","33","65","1","0","0","1"
"2020-03-05","Afghanistan","33","65","1","0","0","1"
"2020-03-06","Afghanistan","33","65","1","0","0","1"
"2020-03-07","Afghanistan","33","65","1","0","0","1"
"2020-03-08","Afghanistan","33","65","4","0","0","4"
"2020-03-09","Afghanistan","33","65","4","0","0","4"
"2020-03-10","Afghanistan","33","65","5","0","0","5"
"2020-03-11","Afghanistan","33","65","7","0","0","7"
"2020-03-12","Afghanistan","33","65","7","0","0","7"
"2020-03-13","Afghanistan","33","65","7","0","0","7"
"2020-03-14","Afghanistan","33","65","11","0","0","11"
"2020-03-15","Afghanistan","33","65","16","0","0","16"
"2020-03-16","Afghanistan","33","65","21","0","1","20"
"2020-03-17","Afghanistan","33","65","22","0","1","21"
"2020-03-18","Afghanistan","33","65","22","0","1","21"
"2020-03-19","Afghanistan","33","65","22","0","1","21"
"2020-03-20","Afghanistan","33","65","24","0","1","23"
"2020-03-21","Afghanistan","33","65","24","0","1","23"
"2020-03-22","Afghanistan","33","65","40","1","1","38"
"2020-03-23","Afghanistan","33","65","40","1","1","38"
"2020-03-24","Afghanistan","33","65","74","1","1","72"
"2020-03-25","Afghanistan","33","65","84","2","2","80"
"2020-03-26","Afghanistan","33","65","94","4","2","88"
"2020-03-27","Afghanistan","33","65","110","4","2","104"
"2020-03-28","Afghanistan","33","65","110","4","2","104"
"2020-03-29","Afghanistan","33","65","120","4","2","114"
"2020-03-30","Afghanistan","33","65","170","4","2","164"
"2020-03-31","Afghanistan","33","65","174","4","5","165"
"2020-04-01","Afghanistan","33","65","237","4","5","228"
"2020-02-16","Albania","41.153","20.168","0","0","0","0"
"2020-02-17","Albania","41.153","20.168","0","0","0","0"
"2020-02-18","Albania","41.153","20.168","0","0","0","0"
"2020-02-19","Albania","41.153","20.168","0","0","0","0"
"2020-02-20","Albania","41.153","20.168","0","0","0","0"
"2020-02-21","Albania","41.153","20.168","0","0","0","0"
"2020-02-22","Albania","41.153","20.168","0","0","0","0"
"2020-02-23","Albania","41.153","20.168","0","0","0","0"
"2020-02-24","Albania","41.153","20.168","0","0","0","0"
"2020-02-25","Albania","41.153","20.168","0","0","0","0"
"2020-02-26","Albania","41.153","20.168","0","0","0","0"
