"date","region/province","lat","long","confirmed","deaths","recovered","active"
"2020-01-22","Afghanistan","33","65","0","0","0","0"
"2020-01-23","Afghanistan","33","65","0","0","0","0"
"2020-01-24","Afghanistan","33","65","0","0","0","0"
"2020-01-25","Afghanistan","33","65","0","0","0","0"
"2020-01-26","Afghanistan","33","65","0","0","0","0"
"2020-01-27","Afghanistan","33","65","0","0","0","0"
"2020-01-28","Afghanistan","33","65","0","0","0","0"
"2020-01-29","Afghanistan","33","65","0","0","0","0"
"2020-01-30","Afghanistan","33","65","0","0","0","0"
"2020-01-31","Afghanistan","33","65","0","0","0","0"
"2020-02-01","Afghanistan","33","65","0","0","0","0"
"2020-02-02","Afghanistan","33","65","0","0","0","0"
"2020-02-03","Afghanistan","33","65","0","0","0","0"
"2020-02-04","Afghanistan","33","65","0","0","0","0"
"2020-02-05","Afghanistan","33","65","0","0","0","0"
"2020-02-06","Afghanistan","33","65","0","0","0","0"
"2020-02-07","Afghanistan","33","65","0","0","0","0"
"2020-02-08","Afghanistan","33","65","0","0","0","0"
"2020-02-09","Afghanistan","33","65","0","0","0","0"
"2020-02-10","Afghanistan","33","65","0","0","0","0"
"2020-02-11","Afghanistan","33","65","0","0","0","0"
"2020-02-12","Afghanistan","33","65","0","0","0","0"
"2020-02-13","Afghanistan","33","65","0","0","0","0"
"2020-02-14","Afghanistan","33","65","0","0","0","0"
"2020-02-15","Afghanistan","33","65","0","0","0","0"
"2020-02-16","Afghanistan","33","65","0","0","0","0"
"2020-02-17","Afghanistan","33","65","0","0","0","0"
"2020-02-18","Afghanistan","33","65","0","0","0","0"
"2020-02-19","Afghanistan","33","65","0","0","0","0"
"2020-02-20","Afghanistan","33","65","0","0","0","0"
"2020-02-21","Afghanistan","33","65","0","0","0","0"
"2020-02-22","Afghanistan","33","65","0","0","0","0"
"2020-02-23","Afghanistan","33","65","0","0","0","0"
"2020-02-24","Afghanistan","33","65","1","0","0","1"
"2020-02-25","Afghanistan","33","65","1","0","0","1"
"2020-02-26","Afghanistan","33","65","1","0","0","1"
"2020-02-27","Afghanistan","33","65","1","0","0","1"
"2020-02-28","Afghanistan","33","65","1","0","0","1"
"2020-02-29","Afghanistan","33","65","1","0","0","1"
"2020-03-01","Afghanistan","33","65","1","0","0","1"
"2020-03-02","Afghanistan","33","65","1","0","0","1"
"2020-03-03","Afghanistan","33","65","1","0","0","1"
"2020-03-04","Afghanistan","33","65","1","0","0","1"
"2020-03-05","Afghanistan","33","65","1","0","0","1"
"2020-03-06","Afghanistan","33","65","1","0","0","1"
"2020-03-07","Afghanistan","33","65","1","0","0","1"
"2020-03-08","Afghanistan","33","65","4","0","0","4"
"2020-03-09","Afghanistan","33","65","4","0","0","4"
"2020-03-10","Afghanistan","33","65","5","0","0","5"
"2020-03-11","Afghanistan","33","65","7","0","0","7"
"2020-03-12","Afghanistan","33","65","7","0","0","7"
"2020-03-13","Afghanistan","33","65","7","0","0","7"
"2020-03-14","Afghanistan","33","65","11","0","0","11"
"2020-03-15","Afghanistan","33","65","16","0","0","16"
"2020-03-16","Afghanistan","33","65","21","0","1","20"
"2020-03-17","Afghanistan","33","65","22","0","1","21"
"2020-03-18","Afghanistan","33","65","22","0","1","21"
"2020-03-19","Afghanistan","33","65","22","0","1","21"
"2020-03-20","Afghanistan","33","65","24","0","1","23"
"2020-03-21","Afghanistan","33","65","24","0","1","23"
"2020-03-22","Afghanistan","33","65","40","1","1","38"
"2020-03-23","Afghanistan","33","65","40","1","1","38"
"2020-03-24","Afghanistan","33","65","74","1","1","72"
"2020-03-25","Afghanistan","33","65","84","2","2","80"
"2020-03-26","Afghanistan","33","65","94","4","2","88"
