"date","series","num","ln_num"
"2020-01-22","Total Recovered","28","3.332"
"2020-01-23","Total Recovered","30","3.401"
"2020-01-24","Total Recovered","36","3.584"
"2020-01-25","Total Recovered","39","3.664"
"2020-01-26","Total Recovered","52","3.951"
"2020-01-27","Total Recovered","61","4.111"
"2020-01-28","Total Recovered","107","4.673"
"2020-01-29","Total Recovered","126","4.836"
"2020-01-30","Total Recovered","143","4.963"
"2020-01-31","Total Recovered","222","5.403"
"2020-02-01","Total Recovered","284","5.649"
"2020-02-02","Total Recovered","472","6.157"
"2020-02-03","Total Recovered","623","6.435"
"2020-02-04","Total Recovered","852","6.748"
"2020-02-05","Total Recovered","1124","7.025"
"2020-02-06","Total Recovered","1487","7.305"
"2020-02-07","Total Recovered","2011","7.606"
"2020-02-08","Total Recovered","2616","7.869"
"2020-02-09","Total Recovered","3241","8.084"
"2020-02-10","Total Recovered","3943","8.28"
"2020-02-11","Total Recovered","4680","8.451"
"2020-02-12","Total Recovered","5147","8.546"
"2020-02-13","Total Recovered","6292","8.747"
"2020-02-14","Total Recovered","8055","8.994"
"2020-02-15","Total Recovered","9392","9.148"
"2020-02-16","Total Recovered","10862","9.293"
"2020-02-17","Total Recovered","12580","9.44"
"2020-02-18","Total Recovered","14349","9.571"
"2020-02-19","Total Recovered","16118","9.688"
"2020-02-20","Total Recovered","18174","9.808"
"2020-02-21","Total Recovered","18885","9.846"
"2020-02-22","Total Recovered","22881","10.038"
"2020-02-23","Total Recovered","23389","10.06"
"2020-02-24","Total Recovered","25222","10.135"
"2020-02-25","Total Recovered","27899","10.236"
"2020-02-26","Total Recovered","30378","10.321"
"2020-02-27","Total Recovered","33271","10.412"
"2020-02-28","Total Recovered","36704","10.511"
"2020-02-29","Total Recovered","39775","10.591"
"2020-03-01","Total Recovered","42709","10.662"
"2020-03-02","Total Recovered","45595","10.728"
"2020-03-03","Total Recovered","48221","10.784"
"2020-03-04","Total Recovered","51163","10.843"
"2020-03-05","Total Recovered","53789","10.893"
"2020-03-06","Total Recovered","55858","10.931"
"2020-03-07","Total Recovered","58351","10.974"
"2020-03-08","Total Recovered","60687","11.013"
"2020-03-09","Total Recovered","62487","11.043"
